datetime,open,high,low,close,volume,symbol,company_name
2023-09-19,326.17001,329.39001,324.51001,328.64999,16505900,MSFT,Microsoft
2023-09-18,327.79999,330.39999,326.35999,329.059998,16834200,MSFT,Microsoft
2023-09-15,336.92001,337.39999,329.64999,330.22,37666900,MSFT,Microsoft
2023-09-14,339.14999,340.85999,336.57001,338.70001,20267000,MSFT,Microsoft
2023-09-13,331.31,336.85001,331.17001,336.059998,16544400,MSFT,Microsoft
2023-09-12,335.82001,336.79001,331.48001,331.76999,17565500,MSFT,Microsoft
2023-09-11,337.23999,338.42001,335.42999,337.94,16583300,MSFT,Microsoft
2023-09-08,330.089996,336.16,329.45999,334.26999,19530100,MSFT,Microsoft
2023-09-07,331.29001,333.079987,329.029999,329.91,18381000,MSFT,Microsoft
2023-09-06,333.38,334.45999,330.17999,332.88,17535800,MSFT,Microsoft
2023-09-05,329.0,334.85001,328.66,333.54999,18553900,MSFT,Microsoft
2023-09-01,331.31,331.98999,326.78,328.66,14931200,MSFT,Microsoft
2023-08-31,329.20001,330.91,326.78,327.76001,26411000,MSFT,Microsoft
2023-08-30,328.67001,329.81,326.45001,328.79001,15222100,MSFT,Microsoft
2023-08-29,321.88,328.98001,321.88,328.41,19284600,MSFT,Microsoft
2023-08-28,325.66,326.14999,321.72,323.70001,14808500,MSFT,Microsoft
2023-08-25,321.47,325.35999,318.79999,322.98001,21684100,MSFT,Microsoft
2023-08-24,332.85001,332.98001,319.95999,319.97,23281400,MSFT,Microsoft
2023-08-23,323.82001,329.20001,323.45999,327.0,21166400,MSFT,Microsoft
2023-08-22,325.5,326.079987,321.45999,322.45999,16102000,MSFT,Microsoft
2023-08-21,317.92999,322.76999,317.040009,321.88,24040000,MSFT,Microsoft
2023-08-18,314.48999,318.38,311.54999,316.48001,24744800,MSFT,Microsoft
2023-08-17,320.54001,321.87,316.20999,316.88,21257200,MSFT,Microsoft
2023-08-16,320.79999,324.42001,319.79999,320.39999,20698900,MSFT,Microsoft
2023-08-15,323.0,325.089996,320.89999,321.85999,16966300,MSFT,Microsoft
2023-08-14,321.39001,324.059998,320.079987,324.040009,18836100,MSFT,Microsoft
2023-08-11,320.26001,322.41,319.20999,321.01001,24342600,MSFT,Microsoft
2023-08-10,326.019989,328.26001,321.17999,322.92999,20113700,MSFT,Microsoft
2023-08-09,326.47,327.10999,321.049988,322.23001,22373300,MSFT,Microsoft
2023-08-08,326.95999,328.75,323.0,326.049988,22327600,MSFT,Microsoft
2023-08-07,328.37,331.10999,327.51999,330.10999,17741500,MSFT,Microsoft
2023-08-04,331.88,335.14001,327.23999,327.78,23727700,MSFT,Microsoft
2023-08-03,326.0,329.88,325.95001,326.66,18253700,MSFT,Microsoft
2023-08-02,333.63,333.63,326.35999,327.5,27761300,MSFT,Microsoft
2023-08-01,335.19,338.54001,333.70001,336.34,18311900,MSFT,Microsoft
2023-07-31,336.92001,337.70001,333.35999,335.92001,25446000,MSFT,Microsoft
2023-07-28,333.67001,340.01001,333.17001,338.37,28484900,MSFT,Microsoft
2023-07-27,340.48001,341.32999,329.049988,330.72,39635300,MSFT,Microsoft
2023-07-26,341.44,344.67001,333.10999,337.76999,58383700,MSFT,Microsoft
2023-07-25,347.10999,351.89001,345.070007,350.98001,41637700,MSFT,Microsoft
2023-07-24,345.85001,346.92001,342.31,345.10999,26678100,MSFT,Microsoft
2023-07-21,349.14999,350.29999,339.82999,343.76999,69368900,MSFT,Microsoft
2023-07-20,353.57001,357.97,345.37,346.87,33778400,MSFT,Microsoft
2023-07-19,361.75,362.45999,352.44,355.079987,39732900,MSFT,Microsoft
2023-07-18,345.82999,366.78,342.17001,359.48999,64872700,MSFT,Microsoft
2023-07-17,345.67999,346.98999,342.20001,345.73001,20363900,MSFT,Microsoft
2023-07-14,347.59,351.42999,344.31,345.23999,28302200,MSFT,Microsoft
2023-07-13,339.56,343.73999,339.019989,342.66,20567200,MSFT,Microsoft
2023-07-12,336.60001,341.64999,335.67001,337.20001,29995300,MSFT,Microsoft
2023-07-11,331.059998,332.85999,327.0,332.47,26698200,MSFT,Microsoft
2023-07-10,334.60001,335.23001,327.59,331.82999,32791400,MSFT,Microsoft
2023-07-07,339.32001,341.79001,337.0,337.22,21185300,MSFT,Microsoft
2023-07-06,337.29999,342.98999,335.5,341.26999,28161200,MSFT,Microsoft
2023-07-05,335.089996,341.64999,334.73001,338.14999,18172400,MSFT,Microsoft
2023-07-03,339.19,340.89999,336.57001,337.98999,12508700,MSFT,Microsoft
2023-06-30,337.75,342.73001,337.20001,340.54001,26823800,MSFT,Microsoft
2023-06-29,334.70999,336.10999,332.62,335.049988,16997000,MSFT,Microsoft
2023-06-28,334.66,337.98001,333.81,335.85001,20259500,MSFT,Microsoft
2023-06-27,331.85999,336.14999,329.29999,334.57001,24354100,MSFT,Microsoft
2023-06-26,333.72,336.10999,328.48999,328.60001,21520600,MSFT,Microsoft
2023-06-23,334.35999,337.95999,333.45001,335.019989,23084700,MSFT,Microsoft
2023-06-22,334.12,340.12,333.34,339.70999,23556800,MSFT,Microsoft
2023-06-21,336.37,337.73001,332.070007,333.56,25117800,MSFT,Microsoft
2023-06-20,339.31,342.079987,335.85999,338.049988,26375400,MSFT,Microsoft
2023-06-16,351.32001,351.47,341.95001,342.32999,46533600,MSFT,Microsoft
2023-06-15,337.48001,349.84,337.20001,348.10001,38899100,MSFT,Microsoft
2023-06-14,334.34,339.040009,332.81,337.34,26003800,MSFT,Microsoft
2023-06-13,334.47,336.98001,330.39001,334.29001,22951300,MSFT,Microsoft
2023-06-12,328.57999,332.10001,325.16,331.85001,24260300,MSFT,Microsoft
2023-06-09,324.98999,329.98999,324.41,326.79001,22514900,MSFT,Microsoft
2023-06-08,323.94,326.64001,323.35001,325.26001,23277700,MSFT,Microsoft
2023-06-07,331.64999,334.48999,322.5,323.38,40717100,MSFT,Microsoft
2023-06-06,335.32999,335.37,332.17001,333.67999,20396200,MSFT,Microsoft
2023-06-05,335.22,338.56,334.66,335.94,21307100,MSFT,Microsoft
2023-06-02,334.25,337.5,332.54999,335.39999,25864000,MSFT,Microsoft
2023-06-01,325.92999,333.53,324.72,332.57999,26773900,MSFT,Microsoft
2023-05-31,332.29001,335.94,327.32999,328.39001,45950600,MSFT,Microsoft
2023-05-30,335.23001,335.73999,330.51999,331.20999,29503100,MSFT,Microsoft
2023-05-26,324.019989,333.39999,323.88,332.89001,36630600,MSFT,Microsoft
2023-05-25,323.23999,326.89999,320.0,325.92001,43301700,MSFT,Microsoft
2023-05-24,314.73001,316.5,312.60999,313.85001,23384900,MSFT,Microsoft
2023-05-23,320.029999,322.72,315.25,315.26001,30797200,MSFT,Microsoft
2023-05-22,318.60001,322.59,318.01001,321.17999,24115700,MSFT,Microsoft
2023-05-19,316.73999,318.75,316.37,318.34,27529500,MSFT,Microsoft
2023-05-18,314.53,319.040009,313.72,318.51999,27276000,MSFT,Microsoft
2023-05-17,312.29001,314.42999,310.73999,314.0,24315000,MSFT,Microsoft
2023-05-16,309.82999,313.70999,309.82999,311.73999,26730300,MSFT,Microsoft
2023-05-15,309.10001,309.89999,307.59,309.45999,16336500,MSFT,Microsoft
2023-05-12,310.54999,310.64999,306.60001,308.97,19758100,MSFT,Microsoft
2023-05-11,310.10001,311.12,306.26001,310.10999,31680200,MSFT,Microsoft
2023-05-10,308.62,313.0,307.67001,312.31,30078000,MSFT,Microsoft
2023-05-09,308.0,310.040009,306.31,307.0,21340800,MSFT,Microsoft
2023-05-08,310.13,310.20001,306.089996,308.64999,21318600,MSFT,Microsoft
2023-05-05,305.72,311.97,304.26999,310.64999,28181200,MSFT,Microsoft
2023-05-04,306.23999,307.76001,303.39999,305.41,22519900,MSFT,Microsoft
2023-05-03,306.62,308.60999,304.089996,304.39999,22360800,MSFT,Microsoft
2023-05-02,307.76001,309.17999,303.91,305.41,26404400,MSFT,Microsoft
2023-05-01,306.97,308.60001,305.14999,305.56,21294100,MSFT,Microsoft
2023-04-28,304.01001,308.92999,303.31,307.26001,36446700,MSFT,Microsoft
2023-04-27,295.97,305.20001,295.25,304.82999,46462600,MSFT,Microsoft
2023-04-26,296.70001,299.57001,292.73001,295.37,64599200,MSFT,Microsoft
2023-04-25,279.51001,281.60001,275.37,275.42001,45772200,MSFT,Microsoft
2023-04-24,282.089996,284.95001,278.72,281.76999,26611000,MSFT,Microsoft
2023-04-21,285.01001,286.26999,283.059998,285.76001,21676400,MSFT,Microsoft
2023-04-20,285.25,289.029999,285.079987,286.10999,23244400,MSFT,Microsoft
2023-04-19,285.98999,289.049988,284.54001,288.45001,17150300,MSFT,Microsoft
2023-04-18,291.57001,291.76001,287.01001,288.37,20161800,MSFT,Microsoft
2023-04-17,289.92999,291.60001,286.16,288.79999,23836200,MSFT,Microsoft
2023-04-14,287.0,288.48001,283.69,286.14001,20987900,MSFT,Microsoft
2023-04-13,283.59,289.89999,283.17001,289.84,24222700,MSFT,Microsoft
2023-04-12,284.79001,287.01001,281.95999,283.48999,27403400,MSFT,Microsoft
2023-04-11,285.75,285.98001,281.64001,282.82999,27276600,MSFT,Microsoft
2023-04-10,289.20999,289.60001,284.70999,289.39001,23103000,MSFT,Microsoft
2023-04-06,283.20999,292.079987,282.029999,291.60001,29770300,MSFT,Microsoft
2023-04-05,285.85001,287.14999,282.92001,284.34,22064800,MSFT,Microsoft
2023-04-04,287.23001,290.45001,285.67001,287.17999,25824300,MSFT,Microsoft
2023-04-03,286.51999,288.26999,283.95001,287.23001,24883300,MSFT,Microsoft
2023-03-31,283.73001,289.26999,283.0,288.29999,32766000,MSFT,Microsoft
2023-03-30,284.23001,284.45999,281.48001,284.049988,25053400,MSFT,Microsoft
2023-03-29,278.95999,281.14001,278.41,280.51001,25087000,MSFT,Microsoft
2023-03-28,275.79001,276.14001,272.049988,275.23001,21878600,MSFT,Microsoft
2023-03-27,280.5,281.45999,275.51999,276.38,26840200,MSFT,Microsoft
2023-03-24,277.23999,280.63,275.28,280.57001,28172000,MSFT,Microsoft
2023-03-23,277.94,281.059998,275.20001,277.66,36610900,MSFT,Microsoft
2023-03-22,273.39999,281.040009,272.17999,272.29001,34873300,MSFT,Microsoft
2023-03-21,274.88,275.0,269.51999,273.78,34558700,MSFT,Microsoft
2023-03-20,276.98001,277.48001,269.85001,272.23001,43466600,MSFT,Microsoft
2023-03-17,278.26001,283.32999,276.32001,279.42999,69527400,MSFT,Microsoft
2023-03-16,265.20999,276.56,263.28,276.20001,54768800,MSFT,Microsoft
2023-03-15,259.98001,266.48001,259.20999,265.44,46028000,MSFT,Microsoft
2023-03-14,256.75,261.070007,255.86,260.79001,33620300,MSFT,Microsoft
2023-03-13,247.39999,257.91,245.73,253.92,33339700,MSFT,Microsoft
2023-03-10,251.080002,252.78999,247.60001,248.59,28333900,MSFT,Microsoft
2023-03-09,255.82001,259.56,251.58,252.32001,26653400,MSFT,Microsoft
2023-03-08,254.039993,254.53999,250.81,253.7,17340200,MSFT,Microsoft
2023-03-07,256.29999,257.69,253.39,254.14999,21473200,MSFT,Microsoft
2023-03-06,256.42999,260.12,255.98,256.87,24109800,MSFT,Microsoft
2023-03-03,252.19,255.62,251.39,255.28999,30760100,MSFT,Microsoft
2023-03-02,246.55,251.39999,245.61,251.11,24808200,MSFT,Microsoft
2023-03-01,250.75999,250.92999,245.78999,246.27,27565300,MSFT,Microsoft
2023-02-28,249.070007,251.49001,248.73,249.42,22491000,MSFT,Microsoft
2023-02-27,252.46001,252.82001,249.39,250.16,21190000,MSFT,Microsoft
2023-02-24,249.96001,251.0,248.10001,249.22,24990900,MSFT,Microsoft
2023-02-23,255.56,256.84,250.48,254.77,29219100,MSFT,Microsoft
2023-02-22,254.089996,254.34,250.34,251.50999,22491100,MSFT,Microsoft
2023-02-21,254.48,255.49001,251.59,252.67,28397400,MSFT,Microsoft
2023-02-17,259.39001,260.089996,256.0,258.059998,30000100,MSFT,Microsoft
2023-02-16,264.019989,266.73999,261.89999,262.14999,29603600,MSFT,Microsoft
2023-02-15,268.32001,270.73001,266.17999,269.32001,28922400,MSFT,Microsoft
2023-02-14,272.67001,274.97,269.28,272.17001,37047900,MSFT,Microsoft
2023-02-13,267.64001,274.60001,267.14999,271.32001,44630900,MSFT,Microsoft
2023-02-10,261.53,264.089996,260.66,263.10001,25818500,MSFT,Microsoft
2023-02-09,273.79999,273.98001,262.79999,263.62,42375100,MSFT,Microsoft
2023-02-08,273.20001,276.76001,266.20999,266.73001,54686000,MSFT,Microsoft
2023-02-07,260.53,268.76999,260.079987,267.56,50841400,MSFT,Microsoft
2023-02-06,257.44,258.29999,254.78,256.76999,22518000,MSFT,Microsoft
2023-02-03,259.54001,264.20001,257.10001,258.35001,29077300,MSFT,Microsoft
2023-02-02,258.82001,264.69,257.25,264.60001,39940400,MSFT,Microsoft
2023-02-01,248.0,255.17999,245.47,252.75,31259900,MSFT,Microsoft
2023-01-31,243.45,247.95,242.95,247.81,26541100,MSFT,Microsoft
2023-01-30,244.50999,245.60001,242.2,242.71001,25867400,MSFT,Microsoft
2023-01-27,248.99001,249.83,246.83,248.16,26498900,MSFT,Microsoft
2023-01-26,243.64999,248.31,242.0,248.0,33454500,MSFT,Microsoft
2023-01-25,234.48,243.3,230.89999,240.61,66526600,MSFT,Microsoft
2023-01-24,242.5,243.95,240.44,242.039993,40234400,MSFT,Microsoft
2023-01-23,241.10001,245.17,239.64999,242.58,31934000,MSFT,Microsoft
2023-01-20,234.86,240.74001,234.50999,240.22,35389800,MSFT,Microsoft
2023-01-19,233.78,235.52,230.67999,231.92999,28623000,MSFT,Microsoft
2023-01-18,241.57001,242.38,235.52,235.81,30028700,MSFT,Microsoft
2023-01-17,237.97,240.91,237.089996,240.35001,29831300,MSFT,Microsoft
2023-01-13,237.0,239.37,234.92,239.23,21333300,MSFT,Microsoft
2023-01-12,235.25999,239.89999,233.56,238.50999,27269500,MSFT,Microsoft
2023-01-11,231.28999,235.95,231.11,235.77,28669300,MSFT,Microsoft
2023-01-10,227.75999,231.31,227.33,228.85001,27033900,MSFT,Microsoft
2023-01-09,226.45,231.24001,226.41,227.12,27369800,MSFT,Microsoft
2023-01-06,223.0,225.75999,219.35001,224.92999,43613600,MSFT,Microsoft
2023-01-05,227.2,227.55,221.75999,222.31,39585600,MSFT,Microsoft
2023-01-04,232.28,232.87,225.96001,229.10001,50623400,MSFT,Microsoft
2023-01-03,243.080002,245.75,237.39999,239.58,25740000,MSFT,Microsoft
2022-12-30,238.21001,239.96001,236.66,239.82001,21938500,MSFT,Microsoft
2022-12-29,235.64999,241.92,235.64999,241.0099945,19770700,MSFT,Microsoft
2022-12-28,236.89,239.72,234.17,234.53,17457100,MSFT,Microsoft
2022-12-27,238.7,238.92999,235.83,236.96001,16688600,MSFT,Microsoft
2022-12-23,236.11,238.87,233.94,238.73,21207000,MSFT,Microsoft
2022-12-22,241.25999,241.99001,233.87,238.19,28651700,MSFT,Microsoft
2022-12-21,241.69,245.62,240.11,244.42999,23690600,MSFT,Microsoft
2022-12-20,239.39999,242.91,238.42,241.8,25150800,MSFT,Microsoft
2022-12-19,244.86,245.21001,238.71001,240.45,29696400,MSFT,Microsoft
2022-12-16,248.55,249.84,243.50999,244.69,86102000,MSFT,Microsoft
2022-12-15,253.72,254.2,247.34,249.0099945,35560400,MSFT,Microsoft
2022-12-14,257.13,262.59,254.31,257.22,35410900,MSFT,Microsoft
2022-12-13,261.69,263.92001,253.070007,256.92001,42196900,MSFT,Microsoft
2022-12-12,247.45,252.53999,247.17,252.50999,30665100,MSFT,Microsoft
2022-12-09,244.7,248.31,244.16,245.42,20609700,MSFT,Microsoft
2022-12-08,244.84,248.74001,243.059998,247.39999,22611800,MSFT,Microsoft
2022-12-07,244.83,246.16,242.21001,244.37,20481500,MSFT,Microsoft
2022-12-06,250.82001,251.86,243.78,245.12,22463700,MSFT,Microsoft
2022-12-05,252.0099945,253.82001,248.059998,250.2,23435300,MSFT,Microsoft
2022-12-02,249.82001,256.059998,249.69,255.020004,21528500,MSFT,Microsoft
2022-12-01,253.87,256.12,250.92,254.69,26041500,MSFT,Microsoft
2022-11-30,240.57001,255.33,239.86,255.14,47594200,MSFT,Microsoft
2022-11-29,241.39999,242.78999,238.21001,240.33,17956300,MSFT,Microsoft
2022-11-28,246.080002,246.64999,240.8,241.75999,24778200,MSFT,Microsoft
2022-11-25,247.31,248.7,246.73,247.49001,9200800,MSFT,Microsoft
2022-11-23,245.11,248.28,244.27,247.58,19508500,MSFT,Microsoft
2022-11-22,243.59,245.31,240.71001,245.029999,19665700,MSFT,Microsoft
2022-11-21,241.42999,244.67,241.19,242.050003,26394700,MSFT,Microsoft
2022-11-18,243.50999,243.74001,239.029999,241.22,27613500,MSFT,Microsoft
2022-11-17,237.78,243.25,237.63,241.67999,23123500,MSFT,Microsoft
2022-11-16,242.78999,243.8,240.42,241.73,24093300,MSFT,Microsoft
2022-11-15,245.66,247.0,240.029999,241.97,31390100,MSFT,Microsoft
2022-11-14,241.99001,243.91,239.21001,241.55,31123300,MSFT,Microsoft
2022-11-11,242.99001,247.99001,241.92999,247.11,34620200,MSFT,Microsoft
2022-11-10,235.42999,243.33,235.0,242.98,46268000,MSFT,Microsoft
2022-11-09,227.37,228.63,224.33,224.50999,27852900,MSFT,Microsoft
2022-11-08,228.7,231.64999,225.84,228.87,28192500,MSFT,Microsoft
2022-11-07,221.99001,228.41,221.28,227.87,33498000,MSFT,Microsoft
2022-11-04,217.55,221.59,213.42999,221.39,36789100,MSFT,Microsoft
2022-11-03,220.089996,220.41,213.98,214.25,36633900,MSFT,Microsoft
2022-11-02,229.46001,231.3,220.039993,220.10001,38407000,MSFT,Microsoft
2022-11-01,234.60001,235.74001,227.33,228.17,30592300,MSFT,Microsoft
2022-10-31,233.75999,234.92,231.14999,232.13,28357300,MSFT,Microsoft
2022-10-28,226.24001,236.60001,226.050003,235.87,40647700,MSFT,Microsoft
2022-10-27,231.039993,233.69,225.78,226.75,40424600,MSFT,Microsoft
2022-10-26,231.17,238.3,230.059998,231.32001,82543200,MSFT,Microsoft
2022-10-25,247.25999,251.039993,245.83,250.66,34775500,MSFT,Microsoft
2022-10-24,243.75999,247.84,241.3,247.25,24911200,MSFT,Microsoft
2022-10-21,234.74001,243.0,234.5,242.12,26299700,MSFT,Microsoft
2022-10-20,235.77,241.31,234.87,236.14999,21811000,MSFT,Microsoft
2022-10-19,237.039993,239.61,234.28999,236.48,19985700,MSFT,Microsoft
2022-10-18,243.24001,243.92999,235.37,238.5,26329600,MSFT,Microsoft
2022-10-17,235.82001,238.96001,235.14,237.53,28142300,MSFT,Microsoft
2022-10-14,235.53999,237.24001,228.34,228.56,30198600,MSFT,Microsoft
2022-10-13,219.85001,236.10001,219.13,234.24001,42551800,MSFT,Microsoft
2022-10-12,225.39999,227.86,223.96001,225.75,21903900,MSFT,Microsoft
2022-10-11,227.62,229.059998,224.11,225.41,30474000,MSFT,Microsoft
2022-10-10,233.050003,234.56,226.73,229.25,29743600,MSFT,Microsoft
2022-10-07,240.89999,241.32001,233.17,234.24001,37769600,MSFT,Microsoft
2022-10-06,247.92999,250.34,246.080002,246.78999,20239900,MSFT,Microsoft
2022-10-05,245.99001,250.58,244.10001,249.2,20347100,MSFT,Microsoft
2022-10-04,245.089996,250.36,244.98,248.88,34888400,MSFT,Microsoft
2022-10-03,235.41,241.61,234.66,240.74001,28880400,MSFT,Microsoft
2022-09-30,238.28999,240.53999,232.73,232.89999,35694800,MSFT,Microsoft
2022-09-29,238.89,239.95,234.41,237.5,27484200,MSFT,Microsoft
2022-09-28,236.81,242.33,234.73,241.070007,29029700,MSFT,Microsoft
2022-09-27,239.98,241.8,234.5,236.41,27018700,MSFT,Microsoft
2022-09-26,237.050003,241.45,236.89999,237.45,27694200,MSFT,Microsoft
2022-09-23,239.53999,241.13,235.2,237.92,34176000,MSFT,Microsoft
2022-09-22,237.87,243.86,237.57001,240.98,31061200,MSFT,Microsoft
2022-09-21,244.27,247.66,238.89999,238.95,28625600,MSFT,Microsoft
2022-09-20,242.070007,243.50999,239.64,242.45,26660300,MSFT,Microsoft
2022-09-19,242.47,245.14,240.85001,244.52,26826900,MSFT,Microsoft
2022-09-16,244.25999,245.3,242.059998,244.74001,39791800,MSFT,Microsoft
2022-09-15,249.77,251.39999,244.020004,245.38,31530900,MSFT,Microsoft
2022-09-14,253.53,254.23,249.86,252.22,23913000,MSFT,Microsoft
2022-09-13,258.84,260.39999,251.59,251.99001,33353300,MSFT,Microsoft
2022-09-12,265.78,267.45001,265.16,266.64999,18747700,MSFT,Microsoft
2022-09-09,260.5,265.23001,260.29001,264.45999,22084700,MSFT,Microsoft
2022-09-08,257.51001,260.42999,254.78999,258.51999,20319900,MSFT,Microsoft
2022-09-07,254.7,258.82999,253.22,258.089996,24126700,MSFT,Microsoft
2022-09-06,256.20001,257.82999,251.94,253.25,21328200,MSFT,Microsoft
2022-09-02,261.70001,264.73999,254.47,256.059998,22855400,MSFT,Microsoft
2022-09-01,258.87,260.89001,255.41,260.39999,23263400,MSFT,Microsoft
2022-08-31,265.39001,267.10999,261.32999,261.47,24791800,MSFT,Microsoft
2022-08-30,266.67001,267.049988,260.66,262.97,22767100,MSFT,Microsoft
2022-08-29,265.85001,267.39999,263.85001,265.23001,20338500,MSFT,Microsoft
2022-08-26,279.079987,280.34,267.98001,268.089996,27549300,MSFT,Microsoft
2022-08-25,277.32999,279.019989,274.51999,278.85001,16583400,MSFT,Microsoft
2022-08-24,275.41,277.23001,275.10999,275.79001,18137000,MSFT,Microsoft
2022-08-23,276.44,278.85999,275.39999,276.44,17527400,MSFT,Microsoft
2022-08-22,282.079987,282.45999,277.22,277.75,25061100,MSFT,Microsoft
2022-08-19,288.89999,289.25,285.56,286.14999,20570000,MSFT,Microsoft
2022-08-18,290.19,291.91,289.079987,290.17001,17186200,MSFT,Microsoft
2022-08-17,289.73999,293.35001,289.47,291.32001,18253400,MSFT,Microsoft
2022-08-16,291.98999,294.040009,290.42001,292.70999,18102900,MSFT,Microsoft
2022-08-15,291.0,294.17999,290.10999,293.47,18085700,MSFT,Microsoft
2022-08-12,288.48001,291.91,286.94,291.91,22619700,MSFT,Microsoft
2022-08-11,290.85001,291.20999,286.51001,287.019989,20065900,MSFT,Microsoft
2022-08-10,288.17001,289.81,286.94,289.16,24687800,MSFT,Microsoft
2022-08-09,279.64001,283.079987,277.60999,282.29999,23405200,MSFT,Microsoft
2022-08-08,284.049988,285.92001,279.32001,280.32001,18739200,MSFT,Microsoft
2022-08-05,279.14999,283.64999,278.67999,282.91,16774600,MSFT,Microsoft
2022-08-04,281.79999,283.79999,280.17001,283.64999,18098700,MSFT,Microsoft
2022-08-03,276.76001,283.5,276.60999,282.47,23518900,MSFT,Microsoft
2022-08-02,276.0,277.89001,272.38,274.82001,22754200,MSFT,Microsoft
2022-08-01,277.82001,281.28,275.84,278.01001,21539600,MSFT,Microsoft
2022-07-29,277.70001,282.0,276.63,280.73999,32152800,MSFT,Microsoft
2022-07-28,269.75,277.84,267.87,276.41,33459300,MSFT,Microsoft
2022-07-27,261.16,270.049988,258.85001,268.73999,45994000,MSFT,Microsoft
2022-07-26,259.85999,259.88,249.57001,251.89999,39348000,MSFT,Microsoft
2022-07-25,261.0,261.5,256.81,258.82999,21056000,MSFT,Microsoft
2022-07-22,265.23999,265.32999,259.070007,260.35999,21881300,MSFT,Microsoft
2022-07-21,259.79001,264.89001,257.029999,264.84,22404700,MSFT,Microsoft
2022-07-20,259.89999,264.87,258.91,262.26999,22788300,MSFT,Microsoft
2022-07-19,257.57999,259.72,253.67999,259.53,25012600,MSFT,Microsoft
2022-07-18,259.75,260.84,253.3,254.25,20975000,MSFT,Microsoft
2022-07-15,255.72,260.37,254.77,256.72,29774100,MSFT,Microsoft
2022-07-14,250.57001,255.14,245.94,254.080002,25102800,MSFT,Microsoft
2022-07-13,250.19,253.55,248.11,252.72,29497400,MSFT,Microsoft
2022-07-12,265.88,265.94,252.039993,253.67,35868500,MSFT,Microsoft
2022-07-11,265.64999,266.53,262.17999,264.51001,19455200,MSFT,Microsoft
2022-07-08,264.79001,268.10001,263.29001,267.66,19658800,MSFT,Microsoft
2022-07-07,265.12,269.059998,265.019989,268.39999,20859900,MSFT,Microsoft
2022-07-06,263.75,267.98999,262.39999,266.20999,23824400,MSFT,Microsoft
2022-07-05,256.16,262.98001,254.74001,262.85001,22941000,MSFT,Microsoft
2022-07-01,256.39001,259.76999,254.61,259.57999,22837700,MSFT,Microsoft
2022-06-30,257.049988,259.53,252.89999,256.82999,31730900,MSFT,Microsoft
2022-06-29,257.59,261.97,255.75999,260.26001,20069800,MSFT,Microsoft
2022-06-28,263.98001,266.91,256.32001,256.48001,27295500,MSFT,Microsoft
2022-06-27,268.20999,268.29999,263.28,264.89001,24615100,MSFT,Microsoft
2022-06-24,261.81,267.98001,261.72,267.70001,33923200,MSFT,Microsoft
2022-06-23,255.57001,259.37,253.63,258.85999,25861400,MSFT,Microsoft
2022-06-22,251.89,257.17001,250.37,253.13,25939900,MSFT,Microsoft
2022-06-21,250.25999,254.75,249.50999,253.74001,29928300,MSFT,Microsoft
2022-06-17,244.7,250.5,244.029999,247.64999,43084800,MSFT,Microsoft
2022-06-16,245.98,247.42,243.020004,244.97,33169200,MSFT,Microsoft
2022-06-15,248.31,255.3,246.42,251.75999,33111700,MSFT,Microsoft
2022-06-14,243.86,245.74001,241.50999,244.49001,28651500,MSFT,Microsoft
2022-06-13,245.11,249.020004,241.53,242.25999,46135800,MSFT,Microsoft
2022-06-10,260.57999,260.57999,252.53,252.99001,31422800,MSFT,Microsoft
2022-06-09,267.78,272.70999,264.63,264.79001,26439700,MSFT,Microsoft
2022-06-08,271.70999,273.0,269.60999,270.41,17372300,MSFT,Microsoft
2022-06-07,266.64001,273.13,265.94,272.5,22860700,MSFT,Microsoft
2022-06-06,272.059998,274.17999,267.22,268.75,22400300,MSFT,Microsoft
2022-06-03,270.31,273.45001,268.41,270.019989,28059000,MSFT,Microsoft
2022-06-02,264.45001,274.64999,261.60001,274.57999,44008200,MSFT,Microsoft
2022-06-01,275.20001,277.69,270.040009,272.42001,25292200,MSFT,Microsoft
2022-05-31,272.53,274.76999,268.92999,271.87,37827700,MSFT,Microsoft
2022-05-27,268.48001,273.34,267.56,273.23999,26910800,MSFT,Microsoft
2022-05-26,262.26999,267.10999,261.42999,265.89999,25002100,MSFT,Microsoft
2022-05-25,258.14001,264.57999,257.13,262.51999,28547900,MSFT,Microsoft
2022-05-24,257.89001,261.32999,253.5,259.62,29043900,MSFT,Microsoft
2022-05-23,255.49001,261.5,253.42999,260.64999,33175400,MSFT,Microsoft
2022-05-20,257.23999,258.54001,246.44,252.56,39199300,MSFT,Microsoft
2022-05-19,253.89999,257.67001,251.88,253.14,32692300,MSFT,Microsoft
2022-05-18,263.0,263.60001,252.77,254.080002,31356000,MSFT,Microsoft
2022-05-17,266.10999,268.32999,262.45999,266.82001,28828800,MSFT,Microsoft
2022-05-16,259.95999,265.82001,255.78,261.5,32550900,MSFT,Microsoft
2022-05-13,257.35001,263.040009,255.35001,261.12,34925100,MSFT,Microsoft
2022-05-12,257.69,259.88,250.020004,255.35001,51033800,MSFT,Microsoft
2022-05-11,265.67999,271.35999,259.29999,260.54999,48975900,MSFT,Microsoft
2022-05-10,271.69,273.75,265.070007,269.5,39336400,MSFT,Microsoft
2022-05-09,270.059998,272.35999,263.32001,264.57999,47726000,MSFT,Microsoft
2022-05-06,274.81,279.25,271.26999,274.73001,37780300,MSFT,Microsoft
2022-05-05,285.54001,286.35001,274.34,277.35001,43260400,MSFT,Microsoft
2022-05-04,282.59,290.88,276.73001,289.98001,33599300,MSFT,Microsoft
